"","name","region","area"
"1","AL","South",51609
"2","AK","West",589757
"3","AZ","West",113909
"4","AR","South",53104
"5","CA","West",158693
"6","CO","West",104247
"7","CT","Northeast",5009
"8","DE","South",2057
"9","FL","South",58560
"10","GA","South",58876
"11","HI","West",6450
"12","ID","West",83557
"13","IL","North Central",56400
"14","IN","North Central",36291
"15","IA","North Central",56290
"16","KS","North Central",82264
"17","KY","South",40395
"18","LA","South",48523
"19","ME","Northeast",33215
"20","MD","South",10577
"21","MA","Northeast",8257
"22","MI","North Central",58216
"23","MN","North Central",84068
"24","MS","South",47716
"25","MO","North Central",69686
"26","MT","West",147138
"27","NE","North Central",77227
"28","NV","West",110540
"29","NH","Northeast",9304
"30","NJ","Northeast",7836
"31","NM","West",121666
"32","NY","Northeast",49576
"33","NC","South",52586
"34","ND","North Central",70665
"35","OH","North Central",41222
"36","OK","South",69919
"37","OR","West",96981
"38","PA","Northeast",45333
"39","RI","Northeast",1214
"40","SC","South",31055
"41","SD","North Central",77047
"42","TN","South",42244
"43","TX","South",267339
"44","UT","West",84916
"45","VT","Northeast",9609
"46","VA","South",40815
"47","WA","West",68192
"48","WV","South",24181
"49","WI","North Central",56154
"50","WY","West",97914
